work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Senior,Full Time,Data Scientist,179000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,112000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Machine Learning Engineer,195700,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,97700,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,BI Analyst,100000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,BI Analyst,85000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,119000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,52100,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Business Intelligence Developer,136000,US,In Person,US,M,Data Management
2024,Senior,Full Time,Business Intelligence Developer,91536,US,In Person,US,M,Data Management
2024,Senior,Full Time,Data Engineer,199700,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,165100,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,251250,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,120750,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Data Scientist,240000,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,220000,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Science,160000,US,Remote,US,M,Other
2024,Senior,Full Time,Data Science,150000,US,Remote,US,M,Other
2024,Executive,Full Time,Data Science,300000,US,Remote,US,M,Other
2024,Executive,Full Time,Data Science,220000,US,Remote,US,M,Other
2024,Entry,Full Time,Data Analyst,130000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,100000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,170000,US,Remote,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,150000,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,150000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,120000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Scientist,247300,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,139800,US,In Person,US,M,Data Scientist
2024,Executive,Full Time,Data Engineer,220000,US,Remote,US,M,Data Engineer
2024,Executive,Full Time,Data Engineer,210000,US,Remote,US,M,Data Engineer
2024,Entry,Full Time,Research Analyst,116000,US,Remote,US,M,Data Analyst
2024,Entry,Full Time,Research Analyst,79000,US,Remote,US,M,Data Analyst
2024,Mid,Full Time,Data Scientist,130000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,117000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,172200,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,131200,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Research Scientist,210000,US,In Person,US,M,Research Scientist
2024,Senior,Full Time,Research Scientist,151800,US,In Person,US,M,Research Scientist
2024,Mid,Full Time,Data Engineer,133000,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Engineer,58300,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Research Scientist,359400,US,Remote,US,M,Research Scientist
2024,Mid,Full Time,Research Scientist,239600,US,Remote,US,M,Research Scientist
2024,Entry,Full Time,BI Analyst,80000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,BI Analyst,70000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Science,324100,US,In Person,US,L,Other
2024,Senior,Full Time,Data Science,166700,US,In Person,US,L,Other
2024,Mid,Full Time,Data Engineer,100000,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Engineer,80000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Analyst,85000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,75000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Scientist,243800,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,144200,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Machine Learning Engineer,220000,CA,In Person,CA,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,200000,CA,In Person,CA,M,Machine Learning Engineer
2024,Senior,Full Time,AI Architect,289000,US,Remote,US,L,Machine Learning Engineer
2024,Mid,Full Time,Business Intelligence Developer,77826,US,Remote,US,M,Data Management
2024,Mid,Full Time,Business Intelligence Developer,59300,US,Remote,US,M,Data Management
2024,Mid,Full Time,Data Scientist,166000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,73100,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Research Engineer,151500,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Research Engineer,101000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,182000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,164000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Analytics Engineer,132100,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,96700,US,Remote,US,M,Data Analyst
